,id,description
0,38228194,"<p><strong>MF Kitchen</strong> — группа компаний, занимающаяся развитием единой платформы, цель которой — забрать вопрос еды на себя и помочь нашим клиентам заниматься своими любимыми делами, освободив себя от походов по магазинам, готовки и мытья посуды. Платформа поделена на несколько направлений, в каждом из которых независимые продуктовые команды с взаимными интеграциями.</p> <p>А именно: <strong>MF</strong> — e-com платформа, объединяющая в себе су-бренды Kitchen, Cook и Chef- сервисы по подписке на разноплановое питание. <strong>Trend</strong><strong> </strong><strong>by</strong><strong> </strong><strong>MF</strong>- розничная сеть кафе быстрого здорового питания, объединяющая офлайн и онлайн продажи и коммуникации с клиентом.</p> <p>Если ты веришь, что здоровое питание меняет мир к лучшему, хочешь стремительного развития в команде таких же профессионалов и не боишься нетривиальных задач — возможно, нам с тобой по пути.</p> <p> </p> <p>Обязанности:</p> <p>- Контролировать и координировать проекты по разработке новых блюд в соответствии с концепцией и требованиями фабрики-кухни, развивать существующие.</p> <p>- Проведение дегустаций и презентаций, а также фотосессий блюд.</p> <p>- Анализ полученных данных после дегустационных мероприятий.</p> <p>- Выстраивать коммуникации внутри команды, а также между заказчиками и разработчиками.</p> <p>- Анализировать конкурентные продукты для совершенствования собственных.</p> <p>- Соблюдать сроки и качество выполнения задач, детализировать их.</p> <p>- Искать наиболее оптимальные пути решения задач.</p> <p>- Выставлять приоритеты по текущим задачам.</p> <p>- Работать в связке со всеми отделами ( Производство, Технологический отдел, Продажи, PR).</p> <p> </p> <p>Требования:</p> <p>- Знание методик сбора, анализа и описания продукта.</p> <p>- Умение быстро реагировать и работать в режиме многозадачности.</p> <p>- Аналитический склад ума.</p> <p>- Знание современных тенденций здорового питания, расчет КБЖУ.</p> <p>- Понимание диетологии.</p> <p>- Классные коммуникативные навыки.</p> <p>- Готовность принимать решения и брать на себя ответственность за результаты.</p> <p> </p> <p>Условия:</p> <p>- Оформление по ТК РФ.</p> <p>- Интересные задачи, профессиональный рост.</p> <p>- м. Павелецкая.</p> <p>- Достойная З/П (обсуждается с успешным кандидатом)</p> <p>- График 5/2.</p>"
1,36911636,"<p><strong>Для каждого, кто хочет работать и зарабатывать! Для каждого, кто готов к профессиональному и карьерному росту! Ведущая федеральная розничная сеть магазинов «Пятерочка» приглашает на работу:</strong></p><p><br /></p><p><strong>Обязанности:</strong></p><ul><li>Обслуживание покупателей на кассе (наличный и безналичный расчет)</li><li>Выкладка товара в зале</li><li>Отслеживание сроков годности товара</li><li>Проверка наличия ценников</li><li>Консультация покупателей в зале</li></ul><p><br /></p><p><strong>Требования: </strong></p><ul><li>Ответственность, дисциплинированность, внимательность</li><li>Приветствуется опыт работы в магазинах: Магнит, Дикси, Перекресток, Азбука Вкуса, ВкусВилл, Окей, Карусель, Верный, Ашан, Metro, Магнолия и других торговых сетях</li></ul><p><br /></p><p><strong>Условия:</strong></p><ul><li>Оформление в соответствии с ТК РФ,</li><li>Стабильная официальная заработная плата, выплата 2 раза в месяц</li><li>График работы 5/2, 2/2, возможен неполный рабочий день, неполная рабочая неделя</li><li>Возможность подработки (работа по совместительству)</li><li>Социальные гарантии, оплата отпусков и больничных листов</li><li>Работа рядом с домом</li><li>Скидки в магазинах сети</li><li>Фирменная спецодежда</li><li>Возможность профессионального и карьерного роста, корпоративное обучение</li><li>Корпоративные мероприятия и конкурсы</li><li>Медицинская страховка (в формате телемедицины)</li><li>Медицинская книжка за счет компании</li><li>Доплата за стаж</li></ul>"
2,36909000,"<p><strong>Обязанности:</strong></p><ul><li>Обслуживание покупателей на кассе (наличный и безналичный расчет)</li><li>Выкладка товара в зале</li><li>Отслеживание сроков годности товара</li><li>Проверка наличия ценников</li><li>Консультация покупателей в зале</li></ul><p><strong>Требования:</strong></p><ul><li>Ответственность, дисциплинированность, внимательность</li></ul><p><strong>Условия:</strong></p><ul><li>График работы 5/2, 2/2, возможен неполный рабочий день, неполная рабочая неделя</li><li>Возможность подработки (работа по совместительству)</li><li>Социальные гарантии, оплата отпусков и больничных листов</li><li>Работа рядом с домом</li><li>Скидки в магазинах сети</li><li>Фирменная спецодежда</li><li>Возможность профессионального и карьерного роста, корпоративное обучение</li><li>Корпоративные мероприятия и конкурсы</li></ul>"
3,38985954,"<p>Наша позиция предполагает участие в программе &quot;600 дней&quot; в роли Product owner, где Вас ждет управление проектной командой из специалистов разного профиля и построение кросс-функционального взаимодействия.<br />Вы станете руководителем проекта по разработке и внедрению автоматизированных систем аналитической отчетности (Витрин данных, Dashboards и пр.) для бизнес-стримов, развивающих банковские продукты и небанковские сервисы для клиентов сегмента Среднего и Малого бизнеса (СМБ).<br />Мы любим и ценим автоматизацию рутины и наши продуктовые команды небольшие, гибкие и работают в Agile, опираясь при этом ресурсы и опыт огромной корпорации<br />Вы станете владельцем продукта не на словах, а на деле. Каким будет сервис или продукт, что необходимо сделать для его усовершенствования, запуск и тестирование – эти решения будете принимать именно вы!<br /><br />Программа «600 дней» предполагает формирование более 300 кросс-функциональных команд, более 100 из которых уже успешно работают. В каждой из таких команд собрано максимум компетенций, чтобы сделать лучший продукт для пользователя: специалист по клиентскому опыту, дизайнер, аналитик, разработчики, тестировщики, ответственные за релиз обновлений. Такая команда способна полностью разработать продукт от гипотезы до готового решения. Никаких длительных согласований на высшем уровне — ответственность за продукт перед клиентом и руководством полностью несет agile команда и ее лидер. Де-бюрократизация процессов позволяет реализовывать яркие и смелые проекты в кратчайшие сроки. Больше проектов, а значит больше шансов проявить себя и построить карьеру.<br />Присоединяйтесь к команде и создавайте продукты и сервисы нового поколения, которыми будут пользоваться миллионы людей.<br /><br /><strong>Обязанности:</strong></p> <ul> <li>осуществление управления одной из agile команд бизнес–стрима &quot;Аналитика и отчетность&quot;, в т.ч. разработчиками и дизайнерами;</li> <li>разработка, автоматизация и внедрение инструментов аналитики и отчетности для продуктовых стримов, развивающих банковские продукты для клиентов сегмента СМБ (корпоративный бизнес);</li> <li>разработка и формирование витрин данных для продуктовых стримов СМБ;</li> <li>разработка различных видов управленческой отчетности;</li> <li>проработка функциональных требований на автоматизацию отчетов совместно с Владельцами продуктов (Product owners) продуктовых бизнес-стримов;</li> <li> <p>подготовка и проведение презентаций в ходе Демо–сессий;</p> </li> <li> <p>осуществление анализа обратной связи от клиентов (бизнес-подразделений) по продукту, управление ожиданиями стэйкхолдеров, формирование гипотез по улучшению продукта;</p> </li> <li> <p>создание, поддержка и приоритизация бэклога по продукту;</p> </li> <li> <p>отслеживание и измерение прогресса по продукту.</p> </li> <li>определение критериев готовности функционала продукта;</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>высшее образование;</li> <li>опыт работы в роли Владельца продукта (PO) от 3 лет, с подтвержденным опытом успешной реализации проектов разработки автоматизированных систем отчетности для бизнес-подразделений в банковской сфере (преимущественно в корпоративном бизнесе, сегмент СМБ);</li> <li>опыт постановки технических заданий (бэклог) на автоматизацию;</li> <li>опыт построения базы данных и работы с хранилищами данных;</li> <li>владение инструментами SQL;</li> <li>опыт проведения скрам–церемоний команды: daily, demo, retro, grooming, etc., и навыки использования Agile подходов будут являться преимуществом;</li> <li> <p>умение самостоятельно договариваться с командой о сроках и нести ответственность за то, чтобы эти сроки были соблюдены;</p> </li> <li>опыт работы в FinTech/банках будет являться преимуществом.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>трудоустройство согласно Законодательству;</li> <li>конкурентная заработная плата;</li> <li>профессиональное обучение и развитие;</li> <li>добровольное медицинское страхование, льготные условия кредитования;</li> <li>корпоративная пенсионная программа, материальная помощь;</li> <li>спортивная жизнь и корпоративные мероприятия;</li> <li>возможность построить карьеру в ведущем банке России.</li> </ul>"
4,40108800,"<p>Студия Олега Чулакова — это дизайн-студия №1 в России по версии Tagline и digital-агентство №1 в России по работе с крупнейшими телеком компаниями по версии «Рейтинг Рунета».</p> <p>Основатель и руководитель Студии Олег Чулаков входит в топ-5 ключевых персон российского рынка digital-маркетинга и веб-разработки по версии Tagline.</p> <p>Наши специалисты реализуют масштабные проекты для таких компаний, как Tele2, МегаФон, Yota, БКС, Сбербанк, Альфа-Банк, Промсвязьбанк, Сибур, IKEA, Leroy Merlin, Утконос, STADA, Bosch, Imperial Tobacco, Philip Morris.</p> <p>Мы в поисках талантливого технического эксперта, который будет представлять Студию на внутренних и внешних мероприятиях, включая митапы, конференции по разработке и созданию продуктов.</p> <p><strong>Присоединившись к нам, ты:</strong></p> <ul> <li>примешь участие в масштабных российских встречах и конференциях в сфере IT;</li> <li>будешь представлять Студию и станешь основным спикером на местных и выездных ивентах;</li> <li>научишься организовывать IT-мероприятия «под ключ».</li> </ul> <p><strong>Задачи:</strong></p> <ul> <li>презентация экспертизы Студии на крупных российских и международных IT-конференциях;</li> <li>деятельность по продаже аутстаф-услуг в разработке сайтов и мобильных приложений для компаний-клиентов;</li> <li>формирование команды под потенциальные проекты.</li> </ul> <p><strong>Организационные требования к кандидату:</strong></p> <ul> <li>развитые коммуникативные навыки, умение объяснить технологии и подходы на языке выгод и преимуществ для бизнеса клиента;</li> <li>опыт организации мероприятий в IT-сообществе;</li> <li>знание общего технологического цикла проектирования и разработки современных веб-сервисов, сайтов и мобильных приложений;</li> <li>умение разрабатывать технический и околотехнический контент для публикации в интернет-изданиях и социальных сетях (с привлечением копирайтинга и SMM);</li> <li>понимание цикла продаж от генерации лидов до заключения контрактов на разработку.</li> </ul> <p><strong>Технические требования к кандидату:</strong></p> <ul> <li>глубокое понимание базовых Frontend/Backend-технологий;</li> <li>глубокое понимание продвинутых технологий разработки;</li> <li>знание о принципах работы современных библиотек.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>график — 5/2;</li> <li>оформление согласно ТК;</li> <li>белая заработная плата;</li> <li>командировки в Москву;</li> <li>корпоративный английский;</li> <li>офис со спортзалом, душем и гамаками;</li> <li>вкусные кофе, чай, конфеты и печенье за наш счет;</li> <li>библиотека с профессиональной, учебной и бизнес-литературой;</li> <li>постоянное развитие, бесплатное обучение и повышение квалификации.</li> </ul>"
5,40130151,"<p><strong>ФБК - ведущая российская аудиторско-консалтинговая компания, часть международной сети Grant Thornton, открывает вакансию стажера IT - аудитора в Департаменте аудиторских аудиторских и консультационных услуг финансовым институтам.</strong></p> <p>Профессия ИТ-аудитора позволит получить представление о том, как устроена работа ИТ в крупных российских и международных компаниях и помочь данным компаниям провести независимую оценку рисков, оценить эффективность контрольной среды и дать рекомендации по ее усовершенствованию.</p> <p><strong>Обязанности:</strong></p> <p>Помощь старшим коллегам в:</p> <ul> <li>Проведении интервью с представителями ИТ и бизнес-подразделений с целью получения понимания структуры ИТ в компании;</li> <li>Описании проверяемых ИТ и автоматизированных бизнес-процессов, проведение анализа процессов и идентификация рисков и контролей;</li> <li>Анализе и тестировании общих компьютерных контролей и автоматизированных контролей по бизнес-процессам;</li> </ul> <p>Составлении отчетов и подготовка рекомендаций по итогам проверки</p> <p><strong>Требования:</strong></p> <ul> <li>Выпускники или студенты последних курсов (предпочтение отдается специализации в области бизнес-информатики, информационной бизнес-аналитики, информационной безопасности, прикладной информатики);</li> <li>Базовые знания в области информационных технологий, информационной безопасности;</li> <li>Уверенное владение продуктами MS Office: Excel, Word, PowerPoint, Outlook;</li> <li>Аккуратность, внимательность и готовность работать с большими объемами данных;</li> <li>Опыт работы в области информационных технологий приветствуется;</li> <li>Знание ИТ-процессов и ИТ-принципов управления, а также знакомство с общими ИТ-процессами управления и контроля методик (COBIT, ITIL, ValIT, ISO 20000, 27XXX) являются преимуществами</li> <li>Знание нормативов и положений ЦБ в области ИТ и ИБ являются преимуществами</li> <li>Приветствуется знание основ СУБД и языка запросов SQL</li> <li>Грамотная устная и письменная речь</li> <li>Владение английским языком на уровне не ниже Intermediate</li> <li>Желание развиваться в сфере IT - аудита;</li> <li>Готовность к редким командировкам;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Рабочий день (не менее 32 часов в неделю для), возможны командировки, возможен удаленный режим работы;</li> <li>Офис в районе м. Красные ворота (2 минуты от метро);</li> <li>Интересные и разнообразные задачи в области ИТ, работа с клиентами из разных отраслей финансового сектора – банки, страховые, инвестиционные и лизинговые компании;</li> <li>Быстрый карьерный и профессиональный рост в дружной команде;</li> <li>Конкурентная заработная плата;</li> <li>Доступ к уникальным ресурсам международной сети Grant Thornton, включая аудиторский инструментарий и методологию;</li> </ul> <p> </p> <p> </p>"
6,36963519,"<p>Компания Всегда Да основана международной группой PPF в 2017 и является одной из самых быстрорастущих fintech-компаний в Российской Федерации. Основное направление деятельности это организация предоставления финансовых и нефинансовых сервисов от ведущих российских банков. Мы реализуем финансовые мультибанковские кредитные технологии позволяющие клиентом в онлайн выбирать и оформлять наиболее выгодные для них предложения в зависимости категории потребности. Мы любим свое дело и говорим Всегда.Да.</p> <p>Мы ищем к нам в команду <em><strong>Manual QA engineer<em><strong>, </strong></em></strong></em>который готов будет вместе с нами участвовать в создание новых крутых fintech- сервисов<em><strong>.</strong></em></p> <p><strong>Наши особенности:</strong></p> <ul> <li>Работа в продуктовых командах;</li> <li>Использование гибких методологий разработки Scrum, Kanban;</li> <li>Единый технологический стек разработки;</li> <li>Использование CI/CD процессов внедрения изменений;</li> <li>Облачная инфраструктура;</li> <li>Микросервисная архитектура.</li> </ul> <p><strong>Наш стек:</strong></p> <p>- SoapUi/Postmаn;</p> <p>- Jenkins;</p> <p>- Jira;</p> <p>- Confluence;</p> <p>- Bitbucket stash;</p> <p>- Kibana;</p> <p>- SQL.</p> <p><strong>Что нужно будет делать</strong><strong>:</strong></p> <ul> <li>Проводить функциональное, компонентное, интеграционное, регрессионное тестирование;</li> <li>Осуществлять взаимодействие со всеми заинтересованными сторонами на предмет наилучшей реализации доработки, исправления дефектов.</li> </ul> <p><strong>Что мы ждем от тебя:</strong></p> <ul> <li>Опыт работы от года с функциональным тестированием;</li> <li>Знание html, css, sql, http-запросов;</li> <li>Опыт тестирования UI+DB+API;</li> <li>Опыт написания тест-кейсов, знание тест-дизайна;</li> <li>Опыт работы с инструментарием: SoapUI, Postman, Dbeaver, Kibana/Graylog.</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Возможность экспериментировать и внедрять инновации в процессы команды и продукта;</li> <li>Работу в выделенных продуктовых командах, возможность привнесения собственных идей в развитие продуктов;</li> <li>Команда: открытая самым смелым идеям;</li> <li>Создание и развитие крутых fintech- сервисов;</li> <li>Внутренние программы обучения и развития;</li> <li>Свободный выбор комфортной одежды;</li> <li>Уютный офис на ст. м. Белорусская (в шаговой доступности), <strong><em>а также возможность работать удаленно;</em></strong></li> <li>Достойная заработная плата + прозрачная система премирования (квартальный бонус);</li> <li>Добровольное медицинское страхование, скидочные партнерские программы.</li> </ul>"
7,38003871,"<p><strong>Представительство немецкой Компании «Medi», существующее на российском рынке более 10 лет, приглашает в команду профессионалов.</strong></p> <p><em>Если Вы ищете работу в надежной, динамично-развивающейся Компании,</em></p> <p><em>Хотите профессионально развиваться в сфере розничных продаж,</em></p> <p><em>Желаете влиять на свой доход,</em></p> <p><em>То мы ждем Вас в нашу Команду!</em></p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Осуществление исходящих звонков клиентам компании (по нашей базе) с целью получения обратной связи (качество обслуживания, качество товара, претензии)</li> <li>Консультация: выявление, уточнение запроса, подбор изделия по потребности и потребительским свойствам товара, производителя, цены, гарантийных обязательств и условий эксплуатации.</li> <li>Запись покупателей на индивидуальный осмотр стопы, а также на изготовление индивидуальных динамических стелек Igli на карбоновой основе в салоны розничной сети Medi</li> <li>Предложение сопутствующих и необходимых в использовании основного изделия товаров, акций направленных на определенные группы покупателей</li> <li>Корректное внесение данных о заказе в систему Битрикс, 1С</li> <li>Осуществление работы по дисконтной программе.</li> <li>Уточнение о способе доставки изделия (курьер, транспортная компания, пункт самовывоза) и внесении соответствующей информации в базу.</li> <li>Соблюдение стандартов работы при консультации и обслуживании покупателей</li> <li>Сопровождение заказов покупателей: информирование о статусе заказа, внесение правок и добавлений в заказа, по обращению и желанию покупателя</li> <li>Взаимодействие со смежными службами цепочки клиентского сервиса</li> <li>Выявление в работе и обслуживании покупателей элементов не удобных или сложных для клиента, и направление предложений по улучшению качества предоставления клиентского сервиса руководителю</li> </ul> <p><strong>Мы ожидаем от Вас:</strong></p> <ul> <li>Знание принципов и технологий работы с клиентом по телефону</li> <li>Умение обучаться, усваивать необходимый объем информации</li> <li>Грамотную речь</li> <li>Стрессоустойчивость</li> <li>Желание общаться с людьми</li> <li>Доброжелательность и позитивное мышление</li> <li>Знание компьютерных программ (Windows, Word, Excel, MS Outlook, 1C)</li> <li>опыт работы оператором call-центра желателен</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Своевременную выплату заработной платы 2 раза в месяц</li> <li>График работы 2/2/3 с 08:00 до 20:00, с 09.00 до 21.00</li> <li>Возможность для сотрудников приобретать продукцию Medi по специальным ценам</li> <li>Рабочее место в комфортабельном офисе м. Калужская</li> <li>Возможность обучения</li> <li>Оформление, согласно ТК</li> </ul>"
8,38003986,"<p><strong>Требования:</strong></p> <ul> <li>Опыт работы в торговой компании;</li> <li>Умение работать с большим объемом информации;</li> <li>Грамотная речь;</li> <li>ПК – 1С, Excel.</li> </ul> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Осуществление исходящих звонков действующим клиентам по поставленным задачам, выборкам, срокам</li> <li>Сбор первичной информации от клиентов о субъективных ощущениях от использования индивидуальных изделий</li> <li>Сбор первичной информации о качестве обслуживания<br />Выявление дискомфорта, сложностей у клиентов при использовании индивидуальных изделий</li> <li>Запись клиентов к специалисту по ортезированию при выявлении не удовлетворительных субъективных отзывов при использовании индивидуальных изделий</li> <li>Ведение учета обращений, записи клиентов, ежедневное предоставление отчета по выполненным работам</li> <li>Внесение данных по обращению клиента в базу Битрикс24, 1С, ЕХ</li> <li>Эффективное взаимодействие с сотрудниками отдела и смежных служб, оперативное получение ответов на запросы, предложения по улучшению качества клиентского сервиса.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Своевременную выплату заработной платы 2 раза в месяц</li> <li>График работы 5/2 с 10:00 до 19:00</li> <li>Возможность для сотрудников приобретать продукцию Medi по специальным ценам</li> <li>Рабочее место в комфортабельном офисе м. Калужская</li> <li>Возможность обучения</li> <li>Оформление, согласно ТК</li> </ul> <p> </p>"
9,37854023,"<p>В техническом отделе БИТ.Wi-Fi в связи с расширением открыта вакансия <strong>ИНЖЕНЕР-ПРОЕКТИРОВЩИК СЛАБОТОЧНЫХ СИСТЕМ (СКС)</strong></p> <p><strong>БИТ.WI-FI </strong>- эксперт в области беспроводных технологий и автоматической идентификации, официальный партнер профессионалов мирового рынка в области беспроводных сетей и сбора данных Extreme Networks и HPE (Hewlett Packard Enterprise).</p> <p><strong>Задачи:</strong></p> <ul> <li> Разработка проектной, рабочей и исполнительной документации в соответствии с действующими ГОСТами, СНиПами, ПУЭ и действующими нормативами, в части проектирования инженерных систем:</li> </ul> <ol> <li>СОТ (система охранного телевидения);</li> <li>СКУД (система контроля и управления доступом);</li> <li>СКС (структурированная кабельная система);</li> <li>ЛВС (локально-вычислительная сеть);</li> <li>БЛВС (беспроводная локально-вычислительная сеть);</li> </ol> <ul> <li>Составление спецификаций, ведомостей объемов работ;</li> <li>Составление технического задания на проектирование, строительно-монтажные и пусконаладочные работы по системам;</li> <li>Ведение авторского надзора;</li> <li>Согласование документации с экспертными органами;</li> <li>Консультирование клиентов, и сотрудников по вопросам построения систем;</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы на аналогичной должности, от года;</li> <li>Уверенное знание ПК: MS Office, AutoCAD;</li> <li>Знание основных производителей (вендоров по системе СОТ, СКУД, СКС);</li> <li>Наличие сертификата ITV | AxxonSoft, Macroscop, Axis, Hikvision (приветствуется);</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Интересные масштабные проекты и задачи;</li> <li>Реальные возможности профессионального и карьерного роста (корпоративные курсы, семинары, тренинги);</li> <li>Соц. пакет: ДМС, корпоративный спорт, скидки на фитнес, экскурсии для сотрудников, мероприятия для детей сотрудников;</li> <li>Оформление по ТК РФ;</li> <li>Достойная белая заработная плата (по результатам собеседования - оклад+KPI)- обсуждается индивидуально;</li> <li>Насыщенная корпоративная жизнь;</li> <li>Работа в дружном, молодом коллективе профессионалов;</li> <li>График 5/2, с 9:00 до 18:00;</li> <li>Место работы: 3-5 минут ходьбы от ст. м. Пролетарская/Крестьянская застава</li> </ul>"
